"id","iata_code","icao_code","name","city_id","city_name","time_zone_offset","latitude","longitude","score","enabled","duffel_id","__drizzlerowid__"
"a00dw54754ijgppmfjr8dwzq","URM","SVUM","Uriman Airport","s0efbh1qk0qtquz52ssuhkch","Uriman","-04:00","5.33306","-62.75","0","1",,"8372"
"a00kyz9szbm7ilj72d2xqesh","MNV","ljn9","Mount Valley Airport","dae8uifio0kbg27nozjzpamj","Mount Valley","+09:30","-14.12","133.8","0","0",,"5379"
"a01sfs6iksum8rf5iwhxr84z","EMG","FAEM","Empangeni Airport","qryaouen4vpij10zf7q8glsq","Empangeni","+02:00","-28.72999","31.9","0","1",,"2307"
"a01zy15e6jnl78u1zy41u8ge","KOR","AYRO","Kokoro Airport","ixcwgqec6r6bxlwmcts49w3g","Kakoro","+10:00","-7.83527","146.53281","0","1",,"4042"
"a02n01f70zii6777dhq6o4ok","LIZ","hkm9","Loring International Airport","qi1chwshj7yszekued6szwa9","Limestone","-04:00","46.90862","-67.82583","0","1",,"4567"
"a073tz30vioyyc30kv9yr6qa","SVA","PASA","Savoonga Airport","a5cfjuyj9e6clygpg0kkgajq","Savoonga","-08:00","63.68639","-170.49249","1","1",,"7199"
"a09idz4r7jub97r3n5whgalq","OKU","FYMO","Mokuti Lodge Airport","t4os0vbjclykzzoo2yts98s7","Mokuti Lodge","+02:00","-22.57","17.1","0","1",,"5231"
"a0jc1njfgxlltnzmo7q3xpjn","FXE","KFXE","Fort Lauderdale Executive Airport","lezzi3o5hi837qa8c2w2r1x1","Fort Lauderdale","-04:00","26.19758","-80.17","0","0",,"2511"
"a0jkjvx8eowrucmhpg9j4i2h","CDU","YSCN","Camden Airport","zju1xwcscrozq84f5caybx6n","Camden","+10:00","-34.04027","150.68719","0","0",,"1246"
"a0o7vmn8avhuugcgjmfa86er","WLK","PASK","Selawik Airport","ya3pdz1u2u4xk42dyj16sxzy","Selawik","-08:00","66.6","-160","1","1",,"7245"
