NYK, JFK, John F. Kennedy International Airport, 20 km to destination.
NYK, LGA, LaGuardia Airport, 13 km to destination.
NYK, EWR, Newark Liberty International Airport, 13 km to destination.
NYK, BUF, Buffalo Niagara International Airport, 13 km to destination.
NYK, ROC, Frederick Douglass Greater Rochester International Airport, 6 km to destination.
NYK, JFK, John F. Kennedy International Airport, 56 km to destination.
NYK, LGA, LaGuardia Airport, 62 km to destination.
NYK, ISP, Long Island MacArthur Airport, 2 km to destination.
NYK, ALB, Albany International Airport, 11 km to destination.
BLR, BLR, Kempegowda International Airport Bengaluru, 27 km to destination.
